lat,lon
64.37893976,-161.2472708
64.38136163,-161.2295121
64.37170895,-161.198646
64.37016743,-161.1834221
64.37266247,-161.15943
64.36693059,-161.1461144
64.37461076,-161.1362299
64.36704434,-161.1237783
64.37012318,-161.1088568
64.37183971,-161.103803
64.37519364,-161.0921945
64.3779963,-161.0816708
64.37460766,-161.0712232
64.37859988,-161.0674672
64.37542791,-161.0543831
64.37568407,-161.0544285
64.38118469,-161.0518255
64.37428487,-161.0306473
64.3754363,-161.0231022
64.37879736,-161.0305389
64.38044038,-161.0120453
64.37520806,-161.0144235
64.36959478,-161.0051253
64.37234513,-160.9880354
64.37937814,-160.989519
64.37825488,-160.9687864
64.38163036,-160.9601038
64.37339455,-160.959929
64.36563953,-160.9533009
64.37367735,-160.9394598
64.36669498,-160.9288046
